task_id,split,omega,source1,source2,sentence1,sentence2,gold_score,gold_score_norm
A01_0001,dev,Omega_A,none,none,A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,5.0,1.0
A01_0002,dev,Omega_B,none,none,A young child is riding a horse.,A child is riding a horse.,4.75,0.95
A01_0003,dev,Omega_C,none,none,A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,5.0,1.0
A01_0004,dev,Omega_A,none,none,A woman is playing the guitar.,A man is playing guitar.,2.4,0.48
A01_0005,dev,Omega_B,none,none,A woman is playing the flute.,A man is playing a flute.,2.75,0.55
A01_0006,dev,Omega_C,none,none,A woman is cutting an onion.,A man is cutting onions.,2.615,0.523
A01_0007,dev,Omega_A,none,none,A man is erasing a chalk board.,The man is erasing the chalk board.,5.0,1.0
A01_0008,dev,Omega_B,none,none,A woman is carrying a boy.,A woman is carrying her baby.,2.333,0.4666
A01_0009,dev,Omega_C,none,none,Three men are playing guitars.,Three men are on stage playing guitars.,3.75,0.75
A01_0010,dev,Omega_A,none,none,A woman peels a potato.,A woman is peeling a potato.,5.0,1.0
A01_0011,dev,Omega_B,none,none,People are playing cricket.,Men are playing cricket.,3.2,0.64
A01_0012,dev,Omega_C,none,none,A man is playing a guitar.,A man is playing a flute.,1.583,0.3166
A01_0013,dev,Omega_A,none,none,The cougar is chasing the bear.,A cougar is chasing a bear.,5.0,1.0
A01_0014,dev,Omega_B,none,none,The man cut down a tree with an axe.,A man chops down a tree with an axe.,5.0,1.0
A01_0015,dev,Omega_C,none,none,The man is playing the guitar.,A man is playing a guitar.,4.909,0.9818
A01_0016,dev,Omega_A,none,none,A man is finding something.,A woman is slicing something.,0.8,0.16
A01_0017,dev,Omega_B,none,none,The girl sang into a microphone.,The lady sang into the microphone.,2.4,0.48
A01_0018,dev,Omega_C,none,none,A man is climbing a rope.,A man climbs a rope.,5.0,1.0
A01_0019,dev,Omega_A,none,none,Kittens are eating food.,Kittens are eating from dishes.,4.0,0.8
A01_0020,dev,Omega_B,none,none,A man is speaking.,A man is spitting.,0.636,0.1272
A01_0021,dev,Omega_C,none,none,A woman is cooking eggs.,A woman is cooking something.,3.0,0.6
A01_0022,dev,Omega_A,none,none,A man is playing a guitar.,A man is playing a trumpet.,1.714,0.3428
A01_0023,dev,Omega_B,none,none,An animal is chewing on something.,An animal is chewing on a key chain.,3.2,0.64
A01_0024,dev,Omega_C,none,none,A man is playing a flute.,A man is playing guitar.,2.167,0.4334
A01_0025,dev,Omega_A,none,none,A man is playing soccer.,A man is playing flute.,1.0,0.2
A01_0026,dev,Omega_B,none,none,A girl is riding a horse.,A girl is riding a bicycle.,1.917,0.3834
A01_0027,dev,Omega_C,none,none,A man is lifting weights in a garage.,A man is lifting weights.,4.25,0.85
A01_0028,dev,Omega_A,none,none,An animal is biting a persons finger.,A slow loris is biting a persons finger.,3.0,0.6
A01_0029,dev,Omega_B,none,none,A woman is reading.,A woman is kneading dough.,1.0,0.2
A01_0030,dev,Omega_C,none,none,A man is crying.,A woman is dancing.,0.6,0.12
A01_0031,dev,Omega_A,none,none,The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,2.6,0.52
A01_0032,dev,Omega_B,none,none,A band is performing on a stage.,A band is playing onstage.,5.0,1.0
A01_0033,dev,Omega_C,none,none,Elephants are walking down a trail.,A herd of elephants are walking along a trail.,4.6,0.92
A01_0034,dev,Omega_A,none,none,A man is playing a guitar.,A man plays the guitar.,5.0,1.0
A01_0035,dev,Omega_B,none,none,A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.,4.8,0.96
A01_0036,dev,Omega_C,none,none,A puppy plays with a plastic container.,The dog is playing with a plastic container.,3.8,0.76
A01_0037,dev,Omega_A,none,none,A man plays the violin.,A man is playing violin.,5.0,1.0
A01_0038,dev,Omega_B,none,none,A man plays the piano.,A man is playing a piano.,5.0,1.0
A01_0039,dev,Omega_C,none,none,A man is eating food.,A man is eating something.,4.2,0.84
A01_0040,dev,Omega_A,none,none,A man is playing a basketball.,A man is playing a piano.,1.4,0.28
A01_0041,dev,Omega_B,none,none,A toddler walks down a hallway.,A little girl is walking down a hallway.,3.6,0.72
A01_0042,dev,Omega_C,none,none,A plane is landing.,A animated airplane is landing.,2.8,0.56
A01_0043,dev,Omega_A,none,none,A panda is climbing.,A man is climbing a rope.,1.6,0.32
A01_0044,dev,Omega_B,none,none,Kids are dancing on stage.,Some people are dancing on stage.,3.0,0.6
A01_0045,dev,Omega_C,none,none,A man plays a guitar.,A man plays the piano.,1.4,0.28
A01_0046,dev,Omega_A,none,none,A woman is slicing a meat.,A woman is singing on stage.,0.25,0.05
A01_0047,dev,Omega_B,none,none,A woman is taking a picture.,A man is playing a guitar.,0.25,0.05
A01_0048,dev,Omega_C,none,none,The man is riding a horse.,A woman is using a hoe.,0.0,0.0
A01_0049,dev,Omega_A,none,none,A man is drilling a hole in a board.,Someone is drilling a hole in a piece of wood.,4.0,0.8
A01_0050,dev,Omega_B,none,none,A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.,4.5,0.9
A01_0051,dev,Omega_C,none,none,Two little girls are talking on the phone.,A little girl is walking down the street.,0.5,0.1
A01_0052,dev,Omega_A,none,none,Someone is stirring chili in a kettle.,Someone is stirring a pot of chili with a spoon.,3.8,0.76
A01_0053,dev,Omega_B,none,none,The woman is cracking eggs into a bowl.,The lady broke raw eggs into a bowl.,4.8,0.96
A01_0054,dev,Omega_C,none,none,A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,5.0,1.0
A01_0055,dev,Omega_A,none,none,A man is talking on a phone.,A man is singing to a woman.,0.25,0.05
A01_0056,dev,Omega_B,none,none,A man is playing an electronic keyboard.,A man is playing a flute.,1.2,0.24
A01_0057,dev,Omega_C,none,none,A man is playing a guitar.,A man is eating a banana.,0.6,0.12
A01_0058,dev,Omega_A,none,none,A man is jumping into water.,A man is cutting paper.,0.8,0.16
A01_0059,dev,Omega_B,none,none,A man is playing a guitar.,A guy is playing an instrument.,3.8,0.76
A01_0060,dev,Omega_C,none,none,A young man is playing the piano.,A woman is peeling a prawn.,0.0,0.0
A01_0061,dev,Omega_A,none,none,A woman is mixing ingrediants.,A woman is mixing food in a bowl.,3.5,0.7
A01_0062,dev,Omega_B,none,none,Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.,4.5,0.9
A01_0063,dev,Omega_C,none,none,A slow lori walks around.,A animal is walking around.,2.8,0.56
A01_0064,dev,Omega_A,none,none,A little boy is vacuuming the floor.,A boy is vacuuming.,3.8,0.76
A01_0065,dev,Omega_B,none,none,A woman is applying eye liner to her eyelid using an eye pencil.,A woman is applying cosmetics to her eyelid.,3.8,0.76
A01_0066,dev,Omega_C,none,none,A man is making a bed.,A woman is playing a guitar.,0.0,0.0
A01_0067,dev,Omega_A,none,none,A man plays a keyboard.,A person is playing the keyboard.,4.0,0.8
A01_0068,dev,Omega_B,none,none,A rabbit is playing with a toy rabbit.,A bunny is playing with a stuffed bunny.,4.25,0.85
A01_0069,dev,Omega_C,none,none,A plane rides on a road.,An airplane moves along a runway.,2.812,0.5624
A01_0070,dev,Omega_A,none,none,A man shoots a man.,A man with a pistol shoots another man.,4.25,0.85
A01_0071,dev,Omega_B,none,none,A man plays the guitar.,The man sang and played his guitar.,3.0,0.6
A01_0072,dev,Omega_C,none,none,A guy is playing hackysack,A man is playing a key-board.,1.0,0.2
A01_0073,dev,Omega_A,none,none,One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.,3.75,0.75
A01_0074,dev,Omega_B,none,none,A man is talking with other women on the beach.,A man is walking down the street.,0.0,0.0
A01_0075,dev,Omega_C,none,none,The woman is dicing onions.,A woman is dancing in railway station.,0.4,0.08
A01_0076,dev,Omega_A,none,none,A chef is preparing some food.,A chef prepared a meal.,4.0,0.8
A01_0077,dev,Omega_B,none,none,The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,2.8,0.56
A01_0078,dev,Omega_C,none,none,A turtle walks over the ground.,A large turtle crawls in the grass.,3.75,0.75
A01_0079,dev,Omega_A,none,none,The lady cracked an egg for the mixer.,The lady sliced up the meat.,1.154,0.2308
A01_0080,dev,Omega_B,none,none,Five kittens are eating out of five dishes.,Kittens are eating food on trays.,2.75,0.55
A01_0081,dev,Omega_C,none,none,A woman is slicing some tuna.,A woman is cutting raw fish.,2.8,0.56
A01_0082,dev,Omega_A,none,none,A man playing the guitar.,A woman is painting her lips.,0.0,0.0
A01_0083,dev,Omega_B,none,none,A man is playing a flute.,A dog is barking at a fly.,0.0,0.0
A01_0084,dev,Omega_C,none,none,A baby rhino is walking around his pen with his mother.,A baby rhino is following an adult rhino.,3.4,0.68
A01_0085,dev,Omega_A,none,none,The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.,5.0,1.0
A01_0086,dev,Omega_B,none,none,A man is cleaning a fish on a kitchen counter.,A man is playing a flute.,0.8,0.16
A01_0087,dev,Omega_C,none,none,A person is chopping coriander leaves.,A woman is slicing up some green leaves.,2.25,0.45
A01_0088,dev,Omega_A,none,none,A man is pressing microwave buttons.,A man turns on the microwave.,2.75,0.55
A01_0089,dev,Omega_B,none,none,A girl is riding a horse.,The girl trotted the horse.,4.5,0.9
A01_0090,dev,Omega_C,none,none,Batman and Robin fly a helicopter over water.,A helicopter flies over water.,2.6,0.52
A01_0091,dev,Omega_A,none,none,A woman pours oil into a skillet from a plastic bottle while she is talking.,An older woman is pouring oil into a skillet on the stove.,3.8,0.76
A01_0092,dev,Omega_B,none,none,A woman is cutting some herbs.,A woman is chopping cilantro.,2.8,0.56
A01_0093,dev,Omega_C,none,none,The lady put the skewered shimp in the hot water.,The lady fried the breaded meat in hot oil.,1.6,0.32
A01_0094,dev,Omega_A,none,none,A woman is riding on a horse.,A man is shooting off guns.,0.0,0.0
A01_0095,dev,Omega_B,none,none,The boy is playing the piano.,A band is playing on stage.,1.333,0.2666
A01_0096,dev,Omega_C,none,none,The cook is kneading the flour.,A woman is kneading tortilla dough.,2.6,0.52
A01_0097,dev,Omega_A,none,none,A woman is riding a horse along a perimeter.,A dog is riding a skateboard.,0.6,0.12
A01_0098,dev,Omega_B,none,none,A woman is putting her baby in a waste bin.,The woman is poking holes in the potato.,0.0,0.0
A01_0099,dev,Omega_C,none,none,A cat is pouncing on a trampoline.,A man is slicing a tomato.,0.0,0.0
A01_0100,dev,Omega_A,none,none,A man and woman are eating at a table.,A couple are eating a meal and talking.,3.0,0.6
A01_0101,dev,Omega_B,none,none,A woman is riding on a horse.,A man is turning over tables in anger.,0.0,0.0
A01_0102,dev,Omega_C,none,none,A man is screwing wood to a wall.,A man is giving a woman a massage.,0.2,0.04
A01_0103,dev,Omega_A,none,none,A girl is playing a flute.,A girl plays a wind instrument.,3.2,0.64
A01_0104,dev,Omega_B,none,none,A small baby is playing a guitar.,"A boy sits on a bed, sings and plays a guitar.",2.0,0.4
A01_0105,dev,Omega_C,none,none,A woman is chopping onion.,A man is doing a card trick.,0.0,0.0
A01_0106,dev,Omega_A,none,none,A man and a woman walk through the woods.,The man and woman are walking.,3.0,0.6
A01_0107,dev,Omega_B,none,none,A child is playing a computer game.,A boy is playing a game on a laptop.,3.091,0.6182
A01_0108,dev,Omega_C,none,none,Men are jumping into water from a bridge.,Men jump in a river.,2.75,0.55
A01_0109,dev,Omega_A,none,none,A woman is peeling some fish.,A woman is pouring a yellow mixture on a frying pan.,1.2,0.24
A01_0110,dev,Omega_B,none,none,People are playing baseball.,The cricket player hit the ball.,0.5,0.1
A01_0111,dev,Omega_C,none,none,A person is boiling soup.,A woman is placing eggs into a pan.,0.25,0.05
A01_0112,dev,Omega_A,none,none,A woman is dancing.,A man breaks a stick.,0.0,0.0
A01_0113,dev,Omega_B,none,none,A ballet dancer is performing on stage.,The beaver is being petted.,0.0,0.0
A01_0114,dev,Omega_C,none,none,A man shoots a basket.,A man is playing a guitar.,0.5,0.1
A01_0115,dev,Omega_A,none,none,The elephants are bathing.,Two women are singing.,0.0,0.0
A01_0116,dev,Omega_B,none,none,The man cut up an onion.,A man is dancing.,0.6,0.12
A01_0117,dev,Omega_C,none,none,A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,4.0,0.8
A01_0118,dev,Omega_A,none,none,A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.,3.4,0.68
A01_0119,dev,Omega_B,none,none,A girl is dancing in a cage.,A onion is being chopped.,0.0,0.0
A01_0120,dev,Omega_C,none,none,A cat is on a robot.,A man is eating bread.,0.0,0.0
A01_0121,dev,Omega_A,none,none,The lady stirred up raw eggs in the bowl.,A woman is pouring eyes into a bowl.,1.0,0.2
A01_0122,dev,Omega_B,none,none,A cow is eating grass.,A dog is pulling a girl down a hill.,0.0,0.0
A01_0123,dev,Omega_C,none,none,The man stirred the sauce for the chicken.,The man is stirring oil.,2.4,0.48
A01_0124,dev,Omega_A,none,none,A man jumping rope,A man is talking.,0.4,0.08
A01_0125,dev,Omega_B,none,none,A woman is peeling an orange.,A woman cuts off a small piece of lemon rind.,1.8,0.36
A01_0126,dev,Omega_C,none,none,Someone is beating an egg.,A woman stirs eggs in a bowl.,2.5,0.5
A01_0127,dev,Omega_A,none,none,A man is cutting a potato.,A woman plays an electric guitar.,0.083,0.0166
A01_0128,dev,Omega_B,none,none,A man is buttering a piece of bread.,A slow loris hanging on a cord.,0.0,0.0
A01_0129,dev,Omega_C,none,none,A woman cuts up some vegetables.,A woman is placing skewered food onto a cooker.,1.0,0.2
A01_0130,dev,Omega_A,none,none,The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.,4.5,0.9
A01_0131,dev,Omega_B,none,none,A man plays an acoustic guitar.,A woman and dog are walking together.,0.0,0.0
A01_0132,dev,Omega_C,none,none,A person is peeling shrimp.,A person is preparing shrimp.,3.6,0.72
A01_0133,dev,Omega_A,none,none,A woman is cutting broccoli.,A woman is slicing broccoli.,5.0,1.0
A01_0134,dev,Omega_B,none,none,A small dog laying on the bed.,A small dog is laying on a bed.,5.0,1.0
A01_0135,dev,Omega_C,none,none,The man is slicing a potato.,A man is slicing potato.,5.0,1.0
A01_0136,dev,Omega_A,none,none,The man is slicing a potato.,A man is slicing potato.,5.0,1.0
A01_0137,dev,Omega_B,none,none,A person is peeling shrimp.,A man is peeling shrimp.,3.8,0.76
A01_0138,dev,Omega_C,none,none,A woman is putting on sun glasses.,A woman puts on sunglasses.,5.0,1.0
A01_0139,dev,Omega_A,none,none,A woman is slicing a potato.,A woman is slicing carrot.,2.5,0.5
A01_0140,dev,Omega_B,none,none,Women are running.,Two women are running.,3.824,0.7648
A01_0141,dev,Omega_C,none,none,A man is playing a harp.,A woman is playing a guitar.,1.6,0.32
A01_0142,dev,Omega_A,none,none,A man dives into a pool.,A man dives into a swimming pool.,5.0,1.0
A01_0143,dev,Omega_B,none,none,The man is smashing garlic.,A man is smashing some garlic.,5.0,1.0
A01_0144,dev,Omega_C,none,none,A man is cutting up a potato.,A man is cutting up carrots.,2.375,0.475
A01_0145,dev,Omega_A,none,none,A man is slicing an onion.,A man slices an onion.,5.0,1.0
A01_0146,dev,Omega_B,none,none,A man is dancing.,A man is singing.,1.25,0.25
A01_0147,dev,Omega_C,none,none,A man is running.,A man is singing.,1.25,0.25
A01_0148,dev,Omega_A,none,none,The man is hiking in the woods.,A man is tracking in the wood.,3.0,0.6
A01_0149,dev,Omega_B,none,none,A man is playing a flute.,A man is playing guitar.,2.167,0.4334
A01_0150,dev,Omega_C,none,none,A man is riding a bike.,A woman is riding a horse.,1.4,0.28
A01_0151,dev,Omega_A,none,none,A woman is playing the guitar.,A person is playing a guitar.,4.0,0.8
A01_0152,dev,Omega_B,none,none,A man is eating a pizza.,A man is eating a food.,3.6,0.72
A01_0153,dev,Omega_C,none,none,A man is playing guitar.,A man plays a guitar.,4.857,0.9714
A01_0154,dev,Omega_A,none,none,The man is buttering the bread.,The man is stirring the rice.,0.4,0.08
A01_0155,dev,Omega_B,none,none,A woman is hitting a man.,A woman is taking a bath.,0.2,0.04
A01_0156,dev,Omega_C,none,none,Three men are dancing.,Women are dancing.,1.3,0.26
A01_0157,dev,Omega_A,none,none,A man is speaking.,A man is dancing.,1.2,0.24
A01_0158,dev,Omega_B,none,none,A man is dancing.,A man is speaking.,1.2,0.24
A01_0159,dev,Omega_C,none,none,A person is combing a cat hair.,A person is brushing a cat.,4.4,0.88
A01_0160,dev,Omega_A,none,none,A man is playing the drums.,A man is playing guitar.,1.8,0.36
A01_0161,dev,Omega_B,none,none,A man is peeling a banana.,A woman is peeling a potato.,1.4,0.28
A01_0162,dev,Omega_C,none,none,A boy is riding a horse.,A monkey is riding a bus.,0.4,0.08
A01_0163,dev,Omega_A,none,none,The puppy tried to get out of the tub.,A puppy is trying to get out of a bathtub.,4.4,0.88
A01_0164,dev,Omega_B,none,none,A woman is peeling an onion.,The woman is slicing green onions.,3.25,0.65
A01_0165,dev,Omega_C,none,none,A person is mixing a pot of rice.,A person is peeling a potato.,0.778,0.1556
A01_0166,dev,Omega_A,none,none,A man is playing a guitar.,The girl is playing the guitar.,2.25,0.45
A01_0167,dev,Omega_B,none,none,A lion cub tries to climb a fence.,A lion tries to climb over a wall.,2.75,0.55
A01_0168,dev,Omega_C,none,none,A man is talking on a cell phone.,A guy is talking into a microphone.,2.0,0.4
