pair_id,omega,sentence_id,text,tok_count,content_tok_count,phi_pre,phi_post,loss_u,class,class_cycle4
D03_0001,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001,"Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.",29,15,0.662069,0.337241,0.324828,degenerativo,degenerativo
D03_0002,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002,[This killing of a respected cleric will be causing us trouble for years to come.],18,7,0.476222,0.146222,0.33,degenerativo,degenerativo
D03_0003,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,17,9,0.562588,0.270824,0.291765,degenerativo,degenerativo
D03_0004,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0004,Two of them were being run by 2 officials of the Ministry of the Interior!,16,4,0.355,0.040625,0.314375,degenerativo,degenerativo
D03_0005,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",36,19,0.669444,0.399167,0.270278,ambiguo,preservativo
D03_0006,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006,The third was being run by the head of an investment firm.,13,5,0.413231,0.114,0.299231,degenerativo,degenerativo
D03_0007,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0007,You wonder if he was manipulating the market with his bombing targets.,13,5,0.413231,0.114,0.299231,degenerativo,degenerativo
D03_0008,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0008,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,16,7,0.48625,0.178125,0.308125,degenerativo,degenerativo
D03_0009,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",35,18,0.66,0.387143,0.272857,ambiguo,preservativo
D03_0010,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0010,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,20,10,0.578,0.3055,0.2725,ambiguo,preservativo
D03_0011,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0011,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,19,10,0.584421,0.278105,0.306316,degenerativo,degenerativo
D03_0012,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",29,14,0.637931,0.356207,0.281724,degenerativo,ambiguo
D03_0013,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0013,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,19,8,0.510737,0.225474,0.285263,degenerativo,degenerativo
D03_0014,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0014,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.",17,7,0.480235,0.150235,0.33,degenerativo,degenerativo
D03_0015,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",27,12,0.611111,0.308889,0.302222,degenerativo,degenerativo
D03_0016,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.),26,10,0.569231,0.256538,0.312692,degenerativo,degenerativo
D03_0017,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0017,"In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district.",27,14,0.662963,0.371852,0.291111,degenerativo,degenerativo
